Timestamp,PWM,Distance_cm
56:36.147,0,0.0
56:36.159,0,0.0
56:36.170,0,0.0
56:36.181,0,0.0
56:36.193,0,0.0
56:36.204,0,0.0
56:36.215,0,0.0
56:36.226,0,0.0
56:36.237,0,0.0
56:36.249,0,0.0
56:36.269,29,0.0
56:36.280,29,0.0
56:36.303,29,0.0
56:36.355,29,0.0
56:36.399,29,0.0
56:36.452,29,0.0
56:36.504,29,0.0
56:36.556,29,0.0
56:36.599,29,0.0
56:36.651,29,0.0
56:36.704,29,0.0
56:36.757,29,0.0
56:36.800,29,0.0
56:36.852,29,0.0
56:36.905,29,0.0
56:36.958,29,0.0
56:36.999,29,0.0
56:37.052,29,0.0
56:37.104,29,0.0
56:37.155,29,0.0
56:37.206,29,0.0
56:37.258,29,0.0
56:37.301,29,0.0
56:37.354,29,0.0
56:37.407,29,0.0
56:37.450,29,0.0
56:37.503,29,0.0
56:37.557,29,0.0
56:37.600,29,0.0
56:37.652,29,0.0
56:37.705,29,0.0
56:37.757,29,0.0
56:37.799,29,0.0
56:37.853,29,0.0
56:37.906,29,0.0
56:37.960,29,0.0
56:38.004,29,0.0
56:38.055,29,0.0
56:38.108,29,0.0
56:38.152,29,0.0
56:38.204,29,0.0
56:38.257,29,0.0
56:38.299,29,0.0
56:38.353,29,0.0
56:38.406,29,0.0
56:38.449,29,0.0
56:38.503,29,0.0
56:38.555,29,0.0
56:38.609,29,0.0
56:38.652,29,0.0
56:38.706,29,0.0
56:38.760,29,0.0
56:38.802,29,0.0
56:38.855,29,0.0
56:38.908,29,0.0
56:38.952,29,0.0
56:39.005,29,0.0
56:39.058,29,0.0
56:39.102,29,0.0
56:39.155,29,0.0
56:39.208,29,0.0
56:39.252,29,0.0
56:39.305,29,0.0
56:39.359,29,0.0
56:39.402,29,0.0
56:39.455,29,0.0
56:39.510,29,0.0
56:39.554,29,0.0
56:39.608,29,0.0
56:39.652,29,0.0
56:39.704,29,0.0
56:39.758,29,0.0
56:39.801,29,0.0
56:39.855,29,0.0
56:39.908,29,0.0
56:39.960,29,0.0
56:40.003,29,0.0
56:40.056,29,0.0
56:40.108,29,0.0
56:40.151,29,0.0
56:40.205,29,0.0
56:40.258,29,0.0
56:40.301,29,0.0
56:40.354,29,0.0
56:40.408,29,0.0
56:40.461,29,0.0
56:40.503,29,0.0
56:40.557,29,0.0
56:40.610,29,0.0
56:40.652,29,0.0
56:40.704,29,0.0
56:40.758,29,0.0
56:40.801,29,0.0
56:40.854,29,0.0
56:40.908,29,0.0
56:40.951,29,0.0
56:41.003,29,0.0
56:41.056,29,0.0
56:41.108,29,0.0
56:41.151,29,0.0
56:41.204,29,0.0
56:41.259,29,0.0
56:41.301,29,0.0
56:41.354,29,0.0
56:41.408,29,0.0
56:41.452,29,0.0
56:41.505,29,0.0
56:41.557,29,0.0
56:41.609,29,0.0
56:41.653,29,0.0
56:41.705,29,1.0
56:41.758,29,0.0
56:41.801,29,1.0
56:41.855,29,1.0
56:41.909,29,2.0
56:41.952,29,3.0
56:42.006,29,3.0
56:42.060,29,3.0
56:42.104,29,4.0
56:42.157,29,4.0
56:42.201,29,6.0
56:42.255,29,7.0
56:42.308,29,8.0
56:42.351,29,10.0
56:42.405,29,11.0
56:42.459,29,11.0
56:42.502,29,10.0
56:42.556,29,12.0
56:42.609,29,14.0
56:42.652,29,15.0
56:42.707,29,16.0
56:42.760,29,16.0
56:42.802,29,17.0
56:42.856,29,19.0
56:42.911,29,19.0
56:42.953,29,19.0
56:43.006,29,19.0
56:43.061,29,19.0
56:43.103,29,20.0
56:43.156,29,19.0
56:43.210,29,19.0
56:43.252,29,19.0
56:43.304,29,15.0
56:43.356,29,17.0
56:43.408,29,16.0
56:43.462,29,20.0
56:43.504,29,20.0
56:43.557,29,20.0
56:43.610,29,20.0
56:43.653,29,19.0
56:43.706,29,20.0
56:43.759,29,19.0
56:43.802,29,20.0
56:43.855,29,20.0
56:43.908,29,19.0
56:43.960,29,19.0
56:44.004,29,20.0
56:44.057,29,20.0
56:44.110,29,20.0
56:44.152,29,20.0
56:44.206,29,20.0
56:44.259,29,20.0
56:44.302,29,20.0
56:44.354,29,19.0
56:44.410,29,20.0
56:44.452,29,20.0
56:44.505,29,19.0
56:44.558,29,20.0
56:44.611,29,17.0
56:44.654,29,20.0
56:44.708,29,20.0
56:44.760,29,20.0
56:44.803,29,20.0
56:44.855,29,20.0
56:44.908,29,20.0
56:44.950,29,20.0
56:45.005,29,20.0
56:45.057,29,19.0
56:45.110,29,20.0
56:45.152,29,20.0
56:45.205,29,19.0
56:45.259,29,19.0
