Timestamp,PWM,Distance_cm
54:01.955,0,1.0
54:01.965,0,1.0
54:01.977,0,0.0
54:01.989,0,0.0
54:01.999,0,0.0
54:02.010,0,0.0
54:02.022,0,0.0
54:02.033,0,0.0
54:02.044,0,0.0
54:02.056,0,0.0
54:02.077,29,0.0
54:02.089,29,0.0
54:02.101,29,0.0
54:02.153,29,0.0
54:02.206,29,0.0
54:02.258,29,0.0
54:02.302,29,0.0
54:02.353,29,0.0
54:02.406,29,0.0
54:02.460,29,0.0
54:02.502,29,0.0
54:02.556,29,0.0
54:02.608,29,0.0
54:02.651,29,0.0
54:02.704,29,0.0
54:02.756,29,0.0
54:02.810,29,0.0
54:02.852,29,0.0
54:02.905,29,1.0
54:02.958,29,0.0
54:03.011,29,0.0
54:03.052,29,0.0
54:03.104,29,0.0
54:03.157,29,0.0
54:03.210,29,0.0
54:03.253,29,0.0
54:03.305,29,0.0
54:03.359,29,0.0
54:03.412,29,0.0
54:03.454,29,0.0
54:03.507,29,0.0
54:03.559,29,0.0
54:03.602,29,0.0
54:03.654,29,0.0
54:03.707,29,0.0
54:03.760,29,1.0
54:03.803,29,0.0
54:03.855,29,0.0
54:03.908,29,0.0
54:03.951,29,0.0
54:04.005,29,0.0
54:04.058,29,0.0
54:04.101,29,0.0
54:04.154,29,0.0
54:04.208,29,0.0
54:04.251,29,0.0
54:04.306,29,0.0
54:04.359,29,1.0
54:04.401,29,0.0
54:04.455,29,0.0
54:04.508,29,0.0
54:04.561,29,0.0
54:04.603,29,0.0
54:04.656,29,0.0
54:04.708,29,0.0
54:04.762,29,0.0
54:04.803,29,0.0
54:04.856,29,0.0
54:04.910,29,0.0
54:04.954,29,0.0
54:05.007,29,0.0
54:05.060,29,1.0
54:05.102,29,0.0
54:05.155,29,0.0
54:05.210,29,0.0
54:05.252,29,0.0
54:05.305,29,0.0
54:05.357,29,0.0
54:05.411,29,0.0
54:05.455,29,0.0
54:05.507,29,0.0
54:05.560,29,0.0
54:05.602,29,0.0
54:05.654,29,0.0
54:05.708,29,0.0
54:05.761,29,0.0
54:05.805,29,1.0
54:05.858,29,0.0
54:05.912,29,0.0
54:05.956,29,0.0
54:06.008,29,0.0
54:06.061,29,0.0
54:06.104,29,0.0
54:06.158,29,0.0
